ts_iso,t_sec,rate
2026-08-04T16:00:03Z,1785859203,0.00010000
2026-08-05T00:00:03Z,1785888003,0.00010000
2026-08-05T08:00:03Z,1785916803,0.00010000
2026-08-05T16:00:03Z,1785945603,0.00010000
2026-08-06T00:00:03Z,1785974403,0.00010000
2026-08-06T08:00:03Z,1786003203,0.00010000
2026-08-06T16:00:03Z,1786032003,0.00010000
2026-08-07T00:00:03Z,1786060803,0.00010000
2026-08-07T08:00:03Z,1786089603,0.00010000
2026-08-07T16:00:03Z,1786118403,0.00010000
2026-08-08T00:00:03Z,1786147203,0.00010000
2026-08-08T08:00:03Z,1786176003,0.00010000
2026-08-08T16:00:03Z,1786204803,0.00010000
2026-08-09T00:00:03Z,1786233603,0.00010000
2026-08-09T08:00:03Z,1786262403,0.00010000
2026-08-09T16:00:04Z,1786291204,0.00010000
2026-08-10T00:00:03Z,1786320003,0.00010000
2026-08-10T08:00:03Z,1786348803,0.00010000
2026-08-10T16:00:04Z,1786377604,0.00010000
2026-08-11T00:00:03Z,1786406403,0.00010000
2026-08-11T08:00:04Z,1786435204,0.00010000
2026-08-11T16:00:03Z,1786464003,0.00010000
2026-08-12T00:00:03Z,1786492803,0.00010000
2026-08-12T08:00:04Z,1786521604,0.00010000
2026-08-12T16:00:03Z,1786550403,0.00010000
2026-08-13T00:00:03Z,1786579203,0.00010000
2026-08-13T08:00:03Z,1786608003,0.00010000
2026-08-13T16:00:03Z,1786636803,0.00010000
2026-08-14T00:00:03Z,1786665603,0.00010000
2026-08-14T08:00:03Z,1786694403,0.00010000
2026-08-14T16:00:03Z,1786723203,0.00010000
2026-08-15T00:00:03Z,1786752003,0.00010000
2026-08-15T08:00:03Z,1786780803,0.00010000
2026-08-15T16:00:03Z,1786809603,0.00010000
2026-08-16T00:00:03Z,1786838403,0.00010000
2026-08-16T08:00:03Z,1786867203,0.00010000
2026-08-16T16:00:03Z,1786896003,0.00010000
2026-08-17T00:00:03Z,1786924803,0.00010000
2026-08-17T08:00:04Z,1786953604,0.00010000
2026-08-17T16:00:03Z,1786982403,0.00010000
2026-08-18T00:00:03Z,1787011203,0.00010000
2026-08-18T08:00:03Z,1787040003,0.00010000
2026-08-18T16:00:04Z,1787068804,0.00010000
2026-08-19T00:00:03Z,1787097603,0.00010000
2026-08-19T08:00:06Z,1787126406,-0.01263500
2026-08-19T12:00:03Z,1787140803,-0.00212800
2026-08-19T16:00:07Z,1787155207,-0.00054300
2026-08-19T20:00:04Z,1787169604,-0.00028600
2026-08-20T00:00:06Z,1787184006,-0.00010900
2026-08-20T04:00:03Z,1787198403,-0.00203100
2026-08-20T08:00:06Z,1787212806,-0.00335700
2026-08-20T12:00:04Z,1787227204,-0.00147900
2026-08-20T16:00:07Z,1787241607,-0.00127000
2026-08-20T20:00:04Z,1787256004,-0.00046200
2026-08-21T00:00:06Z,1787270406,-0.00083900
2026-08-21T04:00:04Z,1787284804,-0.00348500
2026-08-21T08:00:06Z,1787299206,-0.00331200
2026-08-21T12:00:04Z,1787313604,-0.00045800
2026-08-21T16:00:06Z,1787328006,-0.00042600
2026-08-21T20:00:04Z,1787342404,-0.00024600
2026-08-22T00:00:07Z,1787356807,-0.00012900
2026-08-22T04:00:04Z,1787371204,-0.00064800
2026-08-22T08:00:06Z,1787385606,-0.00002900
2026-08-22T12:00:03Z,1787400003,-0.00018700
2026-08-22T16:00:06Z,1787414406,-0.00038000
2026-08-22T20:00:04Z,1787428804,-0.00031200
2026-08-23T00:00:06Z,1787443206,-0.00023100
2026-08-23T04:00:04Z,1787457604,-0.00046900
2026-08-23T08:00:06Z,1787472006,-0.00097600
2026-08-23T12:00:04Z,1787486404,-0.00070000
2026-08-23T16:00:06Z,1787500806,-0.00055600
2026-08-23T20:00:04Z,1787515204,-0.00048300
2026-08-24T00:00:07Z,1787529607,-0.00077800
2026-08-24T04:00:04Z,1787544004,-0.00154400
2026-08-24T08:00:06Z,1787558406,-0.00074300
2026-08-24T12:00:02Z,1787572802,-0.00076700
2026-08-24T16:00:05Z,1787587205,-0.00072400
2026-08-24T20:00:03Z,1787601603,-0.00088600
2026-08-25T00:00:05Z,1787616005,-0.00081300
2026-08-25T04:00:02Z,1787630402,-0.00363700
2026-08-25T08:00:05Z,1787644805,-0.00249300
2026-08-25T12:00:02Z,1787659202,-0.00036200
2026-08-25T16:00:04Z,1787673604,-0.00007600
2026-08-25T20:00:03Z,1787688003,0.00043600
2026-08-26T00:00:05Z,1787702405,0.00005000
2026-08-26T04:00:02Z,1787716802,-0.00050100
2026-08-26T08:00:05Z,1787731205,-0.00016500
2026-08-26T12:00:03Z,1787745603,0.00032600
2026-08-26T16:00:05Z,1787760005,0.00017400
2026-08-26T20:00:03Z,1787774403,0.00020100
2026-08-27T00:00:05Z,1787788805,0.00042500
2026-08-27T04:00:02Z,1787803202,-0.00018300
2026-08-27T08:00:04Z,1787817604,-0.00056700
2026-08-27T12:00:02Z,1787832002,-0.00019000
2026-08-27T16:00:05Z,1787846405,-0.00016600
2026-08-27T20:00:03Z,1787860803,-0.00005700
2026-08-28T00:00:04Z,1787875204,-0.00036700
2026-08-28T04:00:02Z,1787889602,0.00000000
2026-08-28T08:00:05Z,1787904005,0.00027400
2026-08-28T12:00:02Z,1787918402,0.00014900
2026-08-28T16:00:05Z,1787932805,0.00044300
2026-08-28T20:00:03Z,1787947203,0.00049000
2026-08-29T00:00:04Z,1787961604,0.00032000
2026-08-29T04:00:02Z,1787976002,0.00028200
2026-08-29T08:00:04Z,1787990404,0.00001300
2026-08-29T12:00:02Z,1788004802,0.00017600
2026-08-29T16:00:05Z,1788019205,0.00001400
2026-08-29T20:00:02Z,1788033602,0.00000000
2026-08-30T00:00:04Z,1788048004,0.00010200
2026-08-30T04:00:02Z,1788062402,0.00001500
2026-08-30T08:00:04Z,1788076804,-0.00011700
2026-08-30T12:00:02Z,1788091202,-0.00028100
2026-08-30T16:00:05Z,1788105605,-0.00020300
2026-08-30T20:00:02Z,1788120002,-0.00018800
2026-08-31T00:00:06Z,1788134406,-0.00061200
2026-08-31T04:00:02Z,1788148802,0.00003700
2026-08-31T08:00:05Z,1788163205,0.00000000
2026-08-31T12:00:02Z,1788177602,-0.00002800
2026-08-31T16:00:05Z,1788192005,0.00000000
2026-08-31T20:00:03Z,1788206403,-0.00009300
2026-09-01T00:00:05Z,1788220805,-0.00013000
2026-09-01T04:00:02Z,1788235202,-0.00044700
2026-09-01T08:00:04Z,1788249604,-0.00051000
2026-09-01T12:00:03Z,1788264003,0.00000000
