strategy,symbol,market_type,from,to,quantity,fee_rate,cooldown_seconds,close_mode,it_breakout_n,it_cooldown_bars,it_sep_gate,it_sl_atr,it_trend_ema,rows_total,rows_sqlite,rows_api,missing_ranges,candles_fed,warmup_candles,signal_count,entry_signal_count,trade_count,net_pnl,gross_profit,gross_loss,total_fees,return_pct,win_rate,profit_factor,max_drawdown_pct,exit_code,error
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.15,2.5,400,19589,19589,0,0,19589,531,54,54,54,-21.68231720000007,0.08606180000001165,-21.768379000000085,16.989517199999998,0.0,0.018518518518518517,0.003953523594936091,29321.45175201707,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.3,2.5,400,19589,19589,0,0,19589,531,56,56,56,-19.417422000000094,1.4394665999999943,-20.856888600000087,17.657821999999996,0.0,0.05357142857142857,0.06901636325563863,26269.0323450095,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.5,2.5,400,19589,19589,0,0,19589,531,55,55,55,-20.038163200000064,0.19334300000001164,-20.231506200000076,17.344963199999995,0.0,0.05454545454545454,0.009556530200406478,27105.61078166701,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.15,2.5,400,19589,19589,0,0,19589,531,54,54,54,-21.050345800000045,0.08606180000001165,-21.136407600000055,16.990945800000002,0.0,0.018518518518518517,0.004071732606065537,28469.738274928222,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.3,2.5,400,19589,19589,0,0,19589,531,56,56,56,-19.241073800000052,1.4394665999999943,-20.680540400000044,17.657673799999998,0.0,0.05357142857142857,0.06960488324570044,26031.36630727363,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.5,2.5,400,19589,19589,0,0,19589,531,55,55,55,-20.10129680000005,0.1949446000000175,-20.296241400000067,17.344896799999997,0.0,0.05454545454545454,0.009604960650498415,27190.69649595269,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.15,3.5,200,19589,19589,0,0,19589,270,56,56,56,-22.983491000000072,0.4559870000000407,-23.439478000000115,17.614090999999995,0.0,0.08928571428571429,0.01945380353607015,0.0,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.3,3.5,200,19589,19589,0,0,19589,319,59,59,59,-21.976197600000113,1.8093918000000233,-23.785589400000138,18.590197599999993,0.0,0.11864406779661017,0.0760709255327519,23429.29681529107,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.5,3.5,200,19589,19589,0,0,19589,319,58,58,58,-21.742168400000157,0.816757800000035,-22.558926200000187,18.282968399999998,0.0,0.1206896551724138,0.03620552648467941,23180.85817410211,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.15,3.5,200,19589,19589,0,0,19589,319,56,56,56,-22.029696399999935,0.34573060000004074,-22.37542699999998,17.6136964,0.0,0.07142857142857142,0.015451352056881017,23486.089596607242,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.3,3.5,200,19589,19589,0,0,19589,319,59,59,59,-22.10754619999999,1.6991354000000234,-23.80668160000001,18.592146199999995,0.0,0.1016949152542373,0.07137220670015693,23568.732696395,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.5,3.5,200,19589,19589,0,0,19589,319,58,58,58,-20.9852392000001,0.9174894000000524,-21.902728600000152,18.284039199999995,0.0,0.13793103448275862,0.04188927401493009,22377.32399151167,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.15,3.5,400,19589,19589,0,0,19589,531,56,56,56,-22.459495600000032,0.4559870000000407,-22.915482600000075,17.614295599999995,0.0,0.08928571428571429,0.0198986426757619,30368.861994604456,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.3,3.5,400,19589,19589,0,0,19589,531,58,58,58,-21.164824000000092,1.8093918000000233,-22.97421580000012,18.279623999999988,0.0,0.1206896551724138,0.07875749996219736,28624.021563337963,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.5,3.5,400,19589,19589,0,0,19589,531,57,57,57,-20.336836400000166,0.7937744000000465,-21.130610800000213,17.9644364,0.0,0.12280701754385964,0.037565142224854124,27508.13530996897,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.15,3.5,400,19589,19589,0,0,19589,531,56,56,56,-21.053628599999996,0.4559870000000407,-21.50961560000004,17.6150286,0.0,0.08928571428571429,0.02119921659595069,28474.162533688264,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.3,3.5,400,19589,19589,0,0,19589,531,58,58,58,-20.219711000000057,1.8093918000000233,-22.029102800000082,18.281110999999992,0.0,0.1206896551724138,0.08213642727201838,27350.284366572618,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.5,3.5,400,19589,19589,0,0,19589,531,57,57,57,-20.186170200000134,0.7953760000000524,-20.981546200000185,17.964370199999998,0.0,0.12280701754385964,0.03790835968037691,27305.081132071384,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.15,5,200,19589,19589,0,0,19589,270,46,46,46,-21.331971800000012,0.18558380000001748,-21.51755560000003,14.4777718,0.0,0.06521739130434782,0.008624762191854972,0.0,0,
