strategy,symbol,market_type,from,to,quantity,fee_rate,cooldown_seconds,close_mode,it_breakout_n,it_cooldown_bars,it_sep_gate,it_sl_atr,it_trend_ema,rows_total,rows_sqlite,rows_api,missing_ranges,candles_fed,warmup_candles,signal_count,entry_signal_count,trade_count,net_pnl,gross_profit,gross_loss,total_fees,return_pct,win_rate,profit_factor,max_drawdown_pct,exit_code,error
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.15,2.5,400,9839,9839,0,0,9839,505,28,28,28,-6.438448500000065,0.4036182,-6.842066700000065,4.409848500000001,0.0,0.17857142857142858,0.058990684788266703,1399.121973365615,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.3,2.5,400,9839,9839,0,0,9839,505,28,28,28,-5.627627400000058,0.4036182,-6.031245600000059,4.409627400000001,0.0,0.17857142857142858,0.06692120115287563,1235.5180387409184,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.5,2.5,400,9839,9839,0,0,9839,505,26,26,26,-5.4908533000000705,0.25492840000000583,-5.745781700000076,4.0846533,0.0,0.15384615384615385,0.0443679229929676,1207.9203591606145,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.15,2.5,400,9839,9839,0,0,9839,505,28,28,28,-5.46939050000007,0.5359658000000117,-6.0053563000000825,4.4091905,0.0,0.21428571428571427,0.08924796019180482,1203.5896892655378,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.3,2.5,400,9839,9839,0,0,9839,505,30,30,30,-5.8305762000000465,0.5359658000000117,-6.3665420000000585,4.719776199999999,0.0,0.2,0.08418475838218091,1276.468159806291,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.5,2.5,400,9839,9839,0,0,9839,505,27,27,27,-6.082045700000012,0.3034931000000233,-6.385538800000035,4.2358457,0.0,0.14814814814814814,0.04752818979034653,1327.2085754640716,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.15,3.5,200,9839,9839,0,0,9839,263,29,29,29,-6.941050899999972,0.6660948000000234,-7.607145699999996,4.564050900000001,0.0,0.1724137931034483,0.08756172502388429,49678.9349999998,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.3,3.5,200,9839,9839,0,0,9839,288,28,28,28,-5.862289999999978,0.8951385000000002,-6.757428499999978,4.406690000000001,0.0,0.21428571428571427,0.13246732836314926,133333.86363653938,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.5,3.5,200,9839,9839,0,0,9839,288,23,23,23,-5.696963299999978,0.5459386000000234,-6.2429019000000014,3.6103633000000004,0.0,0.08695652173913043,0.08744949203831366,129576.43863653441,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.15,3.5,200,9839,9839,0,0,9839,263,29,29,29,-6.851808300000018,0.5885948000000117,-7.44040310000003,4.5640083,0.0,0.1724137931034483,0.07910791822556083,49041.48785714298,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.3,3.5,200,9839,9839,0,0,9839,288,27,27,27,-5.408111600000006,0.7009802000000117,-6.1090918000000185,4.250511600000001,0.0,0.2222222222222222,0.11474376600463093,123011.62727289,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.5,3.5,200,9839,9839,0,0,9839,288,23,23,23,-5.208499199999972,0.678286200000035,-5.886785400000007,3.6104992000000005,0.0,0.13043478260869565,0.11522183227539333,118474.98181833778,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.15,3.5,400,9839,9839,0,0,9839,505,32,32,32,-6.406108499999995,1.0008074999999999,-7.406915999999995,5.0407085,0.0,0.25,0.13511797622654292,1392.5965496367874,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.3,3.5,400,9839,9839,0,0,9839,505,31,31,31,-5.430403199999989,0.9856170999999885,-6.416020299999977,4.8836032000000005,0.0,0.2903225806451613,0.15361813926929002,1196.6858353510745,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.5,3.5,400,9839,9839,0,0,9839,505,26,26,26,-5.531992099999977,0.7459534000000059,-6.2779454999999835,4.0853921,0.0,0.23076923076923078,0.11882126087268642,1217.1839991928798,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.15,3.5,400,9839,9839,0,0,9839,505,32,32,32,-5.7871433,1.1331551000000115,-6.9202984000000125,5.0401433,0.0,0.28125,0.16374367613974702,1267.70445924131,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.3,3.5,400,9839,9839,0,0,9839,505,33,33,33,-5.720733799999995,1.1179647,-6.838698499999997,5.1943338,0.0,0.30303030303030304,0.16347623747413348,1255.267473769154,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.5,3.5,400,9839,9839,0,0,9839,505,27,27,27,-5.937138299999972,0.7945181000000233,-6.731656399999995,4.238138300000001,0.0,0.2222222222222222,0.1180271322226167,1298.9326271186242,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.15,5,200,9839,9839,0,0,9839,263,24,24,24,-5.731989799999972,0.7288654000000059,-6.460855199999978,3.777989800000001,0.0,0.08333333333333333,0.11281252673794769,41042.784285714086,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.3,5,200,9839,9839,0,0,9839,288,23,23,23,-3.9609945999999883,1.2373108000000117,-5.198305400000001,3.6161946000000005,0.0,0.17391304347826086,0.23802195230776774,90122.60454557337,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.5,5,200,9839,9839,0,0,9839,288,22,22,22,-5.533894499999966,0.5169237000000175,-6.050818199999984,3.4564945000000002,0.0,0.045454545454545456,0.08543038030790925,125870.32954562014,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.15,5,200,9839,9839,0,0,9839,263,23,23,23,-5.224638700000007,0.46023029999999415,-5.684869000000001,3.6160387000000007,0.0,0.13043478260869565,0.08095706339055378,37418.84785714291,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.3,5,200,9839,9839,0,0,9839,288,23,23,23,-4.339686100000006,0.8446518000000174,-5.184337900000024,3.6170861000000003,0.0,0.17391304347826086,0.1629237554133988,98729.22954558516,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.5,5,200,9839,9839,0,0,9839,288,21,21,21,-5.497361099999989,0.3844215000000233,-5.881782600000013,3.2995611000000005,0.0,0.047619047619047616,0.06535799198019024,125040.02500016504,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.15,5,400,9839,9839,0,0,9839,505,27,27,27,-5.454545299999983,1.4816370000000116,-6.936182299999995,4.2563453,0.0,0.18518518518518517,0.2136098700866055,1150.5438052616312,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.3,5,400,9839,9839,0,0,9839,505,26,26,26,-4.390569599999976,1.4937744000000173,-5.884343999999994,4.094969600000001,0.0,0.2692307692307692,0.25385572291491093,946.5414486116698,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,3,0.5,5,400,9839,9839,0,0,9839,505,23,23,23,-4.725894699999913,1.170845200000029,-5.896739899999943,3.6168947000000005,0.0,0.17391304347826086,0.19855805408680824,1054.5331920903668,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.15,5,400,9839,9839,0,0,9839,505,26,26,26,-3.9446260999999767,1.8734241000000407,-5.818050200000019,4.094026100000001,0.0,0.2692307692307692,0.32200205147766425,859.7338156543196,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.3,5,400,9839,9839,0,0,9839,505,28,28,28,-4.345068199999953,1.8781959000000406,-6.223264099999994,4.405868200000001,0.0,0.2857142857142857,0.3018023773087249,937.7778924815639,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,3,0.5,5,400,9839,9839,0,0,9839,505,24,24,24,-5.509361299999942,1.0383430000000349,-6.547704299999977,3.7703613000000002,0.0,0.16666666666666666,0.15858122976018305,1212.617655367207,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,10,0.15,1.5,200,9839,9839,0,0,9839,288,26,26,26,-5.720824200000039,0.10731849999998834,-5.828142700000027,4.0976242,0.0,0.11538461538461539,0.018413842200532913,6062.458805555727,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,10,0.3,1.5,200,9839,9839,0,0,9839,288,26,26,26,-5.110594999999984,0.10731849999998834,-5.217913499999972,4.097395000000001,0.0,0.11538461538461539,0.02056732063496049,5442.104545462275,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,10,0.5,1.5,200,9839,9839,0,0,9839,288,24,24,24,-4.240750400000041,0.12974309999997674,-4.370493500000019,3.773550400000001,0.0,0.08333333333333333,0.02968614413909463,5442.104545462275,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,10,0.15,1.5,200,9839,9839,0,0,9839,288,28,28,28,-5.87227890000004,0.20611259999997672,-6.078391500000017,4.412078900000001,0.0,0.14285714285714285,0.03390906952932797,6220.310607689029,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,10,0.3,1.5,200,9839,9839,0,0,9839,288,28,28,28,-4.891464200000007,0.3384601999999884,-5.229924399999995,4.413864200000001,0.0,0.17857142857142858,0.06471607887869062,5442.104545462275,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,10,0.5,1.5,200,9839,9839,0,0,9839,288,23,23,23,-4.209476500000023,0.17830779999999422,-4.3877843000000185,3.6160765000000006,0.0,0.08695652173913043,0.040637321210159186,5442.104545462275,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,10,0.15,1.5,400,9839,9839,0,0,9839,515,25,25,25,-5.104330600000059,0.20611259999997672,-5.310443200000034,3.942330600000001,0.0,0.16,0.03881269269577639,1803.7151535382027,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,10,0.3,1.5,400,9839,9839,0,0,9839,515,25,25,25,-4.333485300000001,0.20611259999997672,-4.539597899999977,3.942485300000001,0.0,0.16,0.04540327239114675,1546.423664886628,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,10,0.5,1.5,400,9839,9839,0,0,9839,515,23,23,23,-4.012082300000035,0.12974309999997674,-4.141825400000012,3.6154823000000005,0.0,0.08695652173913043,0.03132510124641574,1107.1493838993629,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,10,0.15,1.5,400,9839,9839,0,0,9839,515,25,25,25,-5.012137800000059,0.20611259999997672,-5.218250400000035,3.942137800000001,0.0,0.16,0.03949841119160846,1772.943190921378,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,10,0.3,1.5,400,9839,9839,0,0,9839,515,25,25,25,-4.124846100000017,0.3384601999999884,-4.463306300000006,3.943046100000001,0.0,0.2,0.07583172143036383,1476.7844125501795,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,60,10,0.5,1.5,400,9839,9839,0,0,9839,515,24,24,24,-4.509997400000047,0.17830779999999422,-4.688305200000042,3.7691974,0.0,0.08333333333333333,0.03803246426874953,1605.3395861149525,0,
iron_trader,BTC_USDT,futures,2026-08-30,2026-09-06,20,,,,20,10,0.15,2.5,200,9839,9839,0,0,9839,288,28,28,28,-6.9964259999999765,0.36236649999999415,-7.358792499999971,4.406826000000001,0.0,0.14285714285714285,0.049242657677872496,159109.68181839163,0,
