strategy,symbol,market_type,from,to,quantity,fee_rate,cooldown_seconds,close_mode,it_be_x_sl,it_sep_gate,it_sl_atr,it_timeout_bars,it_trend_ema,rows_total,rows_sqlite,rows_api,missing_ranges,candles_fed,warmup_candles,signal_count,entry_signal_count,trade_count,net_pnl,gross_profit,gross_loss,total_fees,return_pct,win_rate,profit_factor,max_drawdown_pct,exit_code,error
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.25,3,40,200,2017,0,2019,1,2017,269,18,18,18,1.8532352000000105,14.521617799999978,-12.668382599999967,2.7631648,0.0,0.2222222222222222,1.1462882246704498,150.39153956217643,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.25,3,80,100,2017,0,2019,1,2017,183,28,28,28,1.7016604999999587,19.595612699999997,-17.893952200000037,4.275339499999999,0.0,0.2857142857142857,1.0950969624251012,971.0607523302423,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.25,3,80,100,2017,0,2019,1,2017,183,27,27,27,-0.02054110000003695,18.117921299999992,-18.138462400000027,4.1191411,0.0,0.2222222222222222,0.9988675390699029,971.0607523302423,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.25,3,80,200,2017,0,2019,1,2017,269,20,20,20,3.4875566000000053,16.283815099999998,-12.79625849999999,3.0792433999999997,0.0,0.35,1.272545025563528,129.9932275345496,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.25,3,80,200,2017,0,2019,1,2017,269,18,18,18,1.8532352000000105,14.521617799999978,-12.668382599999967,2.7631648,0.0,0.2222222222222222,1.1462882246704498,150.39153956217643,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.4,3,40,100,2017,0,2019,1,2017,183,20,20,20,5.338526300000023,18.576889500000007,-13.238363199999986,3.0220737,0.0,0.3,1.403261809586855,971.0607523302423,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.4,3,40,100,2017,0,2019,1,2017,183,20,20,20,4.487552000000027,17.9671288,-13.479576799999974,3.021648,0.0,0.25,1.3329149027883453,971.0607523302423,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.4,3,40,200,2017,0,2019,1,2017,269,14,14,14,5.9903745,15.131378499999984,-9.141003999999985,2.1398255,0.0,0.35714285714285715,1.6553300381446074,97.79475621029017,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.4,3,40,200,2017,0,2019,1,2017,269,14,14,14,5.139400200000004,14.521617799999978,-9.382217599999974,2.1393998,0.0,0.2857142857142857,1.5477809638523006,107.86225961704805,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.4,3,80,100,2017,0,2019,1,2017,183,20,20,20,5.338526300000023,18.576889500000007,-13.238363199999986,3.0220737,0.0,0.3,1.403261809586855,971.0607523302423,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.4,3,80,100,2017,0,2019,1,2017,183,20,20,20,4.487552000000027,17.9671288,-13.479576799999974,3.021648,0.0,0.25,1.3329149027883453,971.0607523302423,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.4,3,80,200,2017,0,2019,1,2017,269,14,14,14,5.9903745,15.131378499999984,-9.141003999999985,2.1398255,0.0,0.35714285714285715,1.6553300381446074,97.79475621029017,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.4,3,80,200,2017,0,2019,1,2017,269,14,14,14,5.139400200000004,14.521617799999978,-9.382217599999974,2.1393998,0.0,0.2857142857142857,1.5477809638523006,107.86225961704805,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.25,4,40,100,2017,0,2019,1,2017,183,24,24,24,7.5406153999999805,20.639152300000006,-13.098536900000026,3.6577846000000003,0.0,0.3333333333333333,1.5756837925921303,510.3284620506062,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.25,4,40,100,2017,0,2019,1,2017,183,24,24,24,9.216721299999996,24.166026100000018,-14.94930480000002,3.6594786999999998,0.0,0.25,1.616531766748109,510.3284620506062,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.25,4,40,200,2017,0,2019,1,2017,264,16,16,16,4.870348900000016,14.754790299999991,-9.884441399999973,2.4546511,0.0,0.3125,1.492728794972676,506.55554577461936,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.25,4,40,200,2017,0,2019,1,2017,264,16,16,16,10.03691460000003,20.246360999999993,-10.209446399999967,2.4582854000000003,0.0,0.25,1.9831007683237416,506.55554577461936,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.25,4,80,100,2017,0,2019,1,2017,183,24,24,24,7.5406153999999805,20.639152300000006,-13.098536900000026,3.6577846000000003,0.0,0.3333333333333333,1.5756837925921303,510.3284620506062,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.25,4,80,100,2017,0,2019,1,2017,183,24,24,24,9.216721299999996,24.166026100000018,-14.94930480000002,3.6594786999999998,0.0,0.25,1.616531766748109,510.3284620506062,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.25,4,80,200,2017,0,2019,1,2017,264,16,16,16,4.870348900000016,14.754790299999991,-9.884441399999973,2.4546511,0.0,0.3125,1.492728794972676,506.55554577461936,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.25,4,80,200,2017,0,2019,1,2017,264,16,16,16,10.03691460000003,20.246360999999993,-10.209446399999967,2.4582854000000003,0.0,0.25,1.9831007683237416,506.55554577461936,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.4,4,40,100,2017,0,2019,1,2017,183,16,16,16,8.352580000000021,18.064777600000006,-9.712197599999985,2.40302,0.0,0.3125,1.8600092732874416,510.3284620506062,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.4,4,40,100,2017,0,2019,1,2017,183,18,18,18,12.934216300000049,24.01523360000003,-11.08101729999998,2.7163837,0.0,0.2777777777777778,2.1672408723700913,510.3284620506062,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.4,4,40,200,2017,0,2019,1,2017,264,11,11,11,7.950845199999982,14.295904999999973,-6.345059799999991,1.6755548000000002,0.0,0.36363636363636365,2.253076480067216,506.55554577461936,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.4,4,40,200,2017,0,2019,1,2017,264,13,13,13,12.532481500000012,20.246360999999993,-7.713879499999985,1.9889185000000003,0.0,0.3076923076923077,2.624666485910239,506.55554577461936,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.4,4,80,100,2017,0,2019,1,2017,183,16,16,16,8.352580000000021,18.064777600000006,-9.712197599999985,2.40302,0.0,0.3125,1.8600092732874416,510.3284620506062,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.4,4,80,100,2017,0,2019,1,2017,183,18,18,18,12.934216300000049,24.01523360000003,-11.08101729999998,2.7163837,0.0,0.2777777777777778,2.1672408723700913,510.3284620506062,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1,0.4,4,80,200,2017,0,2019,1,2017,264,11,11,11,7.950845199999982,14.295904999999973,-6.345059799999991,1.6755548000000002,0.0,0.36363636363636365,2.253076480067216,506.55554577461936,0,
iron_trader,BTC_USDT,futures,2026-08-16,2026-09-06,20,,,,1.5,0.4,4,80,200,2017,0,2019,1,2017,264,13,13,13,12.532481500000012,20.246360999999993,-7.713879499999985,1.9889185000000003,0.0,0.3076923076923077,2.624666485910239,506.55554577461936,0,
