ts,open,high,low,close,volume
1787322960,4591.41,4591.78,4588.23,4588.54,
1787323020,4588.53,4589.5,4585,4585.73,
1787323080,4585.64,4585.86,4581.43,4582.95,
1787323140,4583.03,4584.44,4581.66,4582.14,
1787323200,4582.21,4586.18,4580.73,4586.05,
1787323260,4586.2,4587.54,4582.96,4587.08,
1787323320,4587.08,4587.37,4580.99,4584.5,
1787323380,4584.5,4589.75,4584.21,4588.31,
1787323440,4588.31,4589.59,4580.72,4582.56,
1787323500,4582.66,4584.77,4580.66,4584.7,
1787323560,4584.71,4587.51,4583.87,4585.04,
1787323620,4585.04,4586.62,4583.74,4586.32,
1787323680,4586.34,4589.72,4586.34,4588.76,
1787323740,4588.76,4591.88,4588.76,4591.5,
1787323800,4591.39,4594.92,4591.39,4594.33,
1787323860,4594.33,4595.34,4592.39,4592.54,
1787323920,4592.53,4592.53,4589.5,4589.71,
1787323980,4589.71,4591.64,4589.01,4590.36,
1787324040,4590.33,4590.87,4588.47,4589.56,
1787324100,4589.54,4589.64,4584.27,4585.73,
1787324160,4585.86,4589.3,4585.3,4589.3,
1787324220,4589.3,4591.43,4587.72,4590.84,
1787324280,4590.84,4592.32,4589.91,4592.32,
1787324340,4592.33,4592.4,4590.69,4591.58,
1787324400,4591.58,4591.99,4587.42,4588.61,
1787324460,4588.61,4591.05,4587.33,4588.6,
1787324520,4588.62,4592.39,4588.53,4591.25,
1787324580,4591.25,4593.64,4590.37,4593.34,
1787324640,4593.34,4594.32,4592.57,4593.35,
1787324700,4593.43,4595.16,4591.97,4594.97,
1787324760,4594.96,4596.08,4593.14,4595.45,
1787324820,4595.48,4597.2,4595.29,4596.95,
1787324880,4596.94,4598.3,4595.97,4596.28,
1787324940,4596.28,4596.82,4593.45,4594.04,
1787325000,4594.04,4597.79,4593.8,4597.53,
1787325060,4597.53,4597.84,4594.42,4595.29,
1787325120,4595.29,4596.47,4594.91,4594.92,
1787325180,4594.91,4596.31,4594.32,4595.76,
1787325240,4595.76,4596.1,4594.31,4595.16,
1787325300,4595.16,4598.06,4595.09,4597.74,
